student_id,major,country,GPA,extracurricular_hours_per_week,exercise_hours_per_week,screen_time_hours,mental_stress_level
S07943,Mathematics,Italy,3.26,6.1,0.0,5.6,5.7
S09239,Mathematics,Japan,3.64,4.7,5.4,8.3,3.8
S01057,Psychology,Germany,4.0,2.8,5.3,4.4,3.8
S03155,Business,Italy,2.99,5.3,1.2,6.5,5.3
S03788,Computer Science,UK,3.41,5.7,6.0,9.3,3.7
S09190,Computer Science,Australia,4.0,8.6,5.0,3.9,2.1
S07826,Economics,Japan,4.0,6.4,4.5,6.4,5.4
S07540,Computer Science,Japan,2.98,3.0,4.0,9.2,5.7
S07232,Engineering,Germany,4.0,4.5,3.0,4.9,2.4
S00765,Mathematics,Australia,4.0,5.4,2.7,6.6,3.4
S05020,Engineering,UK,3.45,2.6,3.8,4.3,3.6
S04904,Mathematics,Brazil,3.71,4.5,4.7,5.9,2.7
S08094,Mathematics,Japan,3.62,4.3,3.0,4.9,4.2
S06844,Mathematics,Netherlands,3.63,4.1,4.3,3.4,3.4
S02166,Medicine,UK,2.96,8.0,0.1,6.4,5.9
S01863,Business,Canada,4.0,5.5,2.3,4.6,4.1
S07851,Engineering,USA,4.0,4.4,6.5,7.4,4.9
S09124,Psychology,USA,3.71,4.5,2.8,6.1,4.9
S02341,Physics,Canada,4.0,6.0,4.2,6.0,4.4
S05528,Computer Science,Brazil,3.91,4.4,0.0,4.1,3.9
S06744,Biology,Canada,2.91,7.8,0.0,3.4,3.6
S04004,Biology,Brazil,3.81,5.3,3.0,8.0,4.3
S01124,Business,South Korea,3.45,2.8,5.3,6.0,3.8
S08710,Mathematics,India,2.91,1.6,2.5,7.0,3.8
S04050,Physics,India,3.23,0.0,2.6,6.1,2.8
S07641,Business,Japan,2.97,2.2,5.8,6.7,2.2
S00766,Computer Science,Netherlands,3.0,4.4,1.1,6.1,5.3
S02345,Physics,Japan,3.01,5.9,4.1,2.9,3.0
S04072,Engineering,India,2.89,4.3,2.2,6.4,6.7
S07217,Physics,Canada,3.56,4.5,2.0,7.4,5.0
S04217,Physics,Netherlands,4.0,3.1,3.8,7.0,3.5
S07953,Mathematics,India,3.54,3.2,0.0,5.0,4.5
S05971,Business,Bangladesh,3.71,6.0,4.7,4.0,2.0
S03351,Psychology,India,3.52,2.3,4.2,8.4,4.1
S04696,Medicine,UK,3.04,5.9,4.1,6.5,4.6
S03400,Mathematics,Canada,3.72,3.1,3.5,2.7,2.9
S04082,Physics,Japan,3.92,4.8,1.7,3.3,3.6
S09150,Computer Science,Bangladesh,3.44,4.6,2.5,5.5,5.1
S01225,Economics,Germany,3.62,3.7,3.4,6.6,5.1
S06293,Medicine,Brazil,4.0,8.1,0.0,7.2,4.4
S03123,Engineering,Australia,3.78,2.9,1.5,4.9,5.5
S00511,Business,Germany,3.38,0.5,0.3,7.8,5.2
S05795,Computer Science,USA,3.44,5.6,4.1,2.9,3.1
S08182,Law,Italy,3.96,1.1,2.4,3.1,3.1
S09418,Law,USA,3.66,4.1,2.6,4.3,3.2
S00097,Economics,Bangladesh,4.0,1.6,3.2,1.7,1.3
S06682,Computer Science,Germany,4.0,2.6,2.0,3.2,4.0
S01513,Biology,Canada,3.1,4.7,6.8,4.8,2.7
S08792,Mathematics,Australia,3.66,4.4,0.0,6.3,4.1
S00120,Business,Bangladesh,4.0,3.1,5.0,3.7,3.7
S07792,Law,Brazil,3.57,2.6,3.0,4.9,4.8
S06518,Economics,Bangladesh,4.0,5.5,2.2,2.0,4.9
S00034,Medicine,South Korea,3.41,3.8,0.0,5.4,4.9
S07888,Mathematics,Germany,3.13,2.8,5.6,3.2,3.8
S06831,Mathematics,UK,4.0,0.0,2.9,4.1,1.3
S05422,Mathematics,Canada,3.18,2.0,0.0,5.8,4.1
S01069,Business,Japan,3.66,4.6,1.5,3.7,3.0
S01348,Psychology,Germany,4.0,5.9,3.3,5.8,2.7
S04748,Mathematics,Canada,2.93,6.6,1.8,6.7,5.7
S06006,Economics,Brazil,4.0,5.2,0.8,5.5,4.5
S06040,Engineering,USA,3.74,4.4,5.8,8.6,3.7
S03818,Engineering,Brazil,3.06,0.0,4.8,9.4,3.5
S08447,Computer Science,Italy,4.0,7.8,4.3,6.1,2.9
S05270,Biology,France,4.0,1.8,2.1,6.4,3.3
S06898,Physics,UK,3.51,5.5,3.9,4.2,2.7
S05310,Medicine,India,3.96,4.4,5.3,5.9,1.0
S00032,Biology,France,4.0,4.6,0.0,8.5,4.9
S05675,Physics,South Korea,3.21,5.8,5.0,2.9,3.7
S04387,Business,India,3.13,2.0,5.1,6.1,1.7
S00030,Business,Japan,3.96,1.9,2.7,3.2,1.9
S04203,Mathematics,Netherlands,3.26,2.8,1.5,4.7,3.0
S07508,Business,Bangladesh,3.33,5.4,2.2,4.3,3.2
S00736,Business,USA,3.58,5.8,1.9,5.6,5.3
S02068,Engineering,Canada,4.0,3.5,2.6,2.8,2.5
S00107,Computer Science,South Korea,4.0,3.6,0.7,7.3,3.3
S09645,Law,France,3.23,4.4,3.3,10.4,4.8
S08895,Physics,Germany,3.82,2.5,1.7,5.8,1.0
S08021,Biology,South Korea,3.17,2.4,3.7,5.4,2.4
S02233,Business,Australia,2.47,6.9,3.6,5.1,4.2
S00994,Mathematics,India,3.4,2.6,2.8,5.3,5.1
S09413,Computer Science,France,3.51,2.5,3.7,6.5,4.9
S07059,Psychology,Netherlands,4.0,5.9,0.5,6.6,6.5
S06790,Medicine,Canada,3.76,4.3,2.3,6.8,4.7
S00361,Law,Italy,4.0,0.4,1.8,5.2,4.0
S00305,Biology,Italy,3.44,0.2,3.6,5.2,6.3
S02628,Economics,South Korea,4.0,4.6,5.4,7.6,1.1
S08966,Economics,Netherlands,2.49,7.0,3.3,8.0,3.6
S04514,Business,Bangladesh,3.47,5.5,2.9,5.9,4.2
S05911,Psychology,USA,3.52,2.1,4.5,4.9,2.4
S08314,Engineering,Japan,3.62,1.3,3.0,3.6,1.2
S03101,Law,India,2.98,2.5,4.5,6.2,5.0
S05704,Law,Bangladesh,3.91,1.8,6.4,2.1,1.1
S03899,Psychology,South Korea,3.65,1.2,5.4,5.1,3.4
S05441,Psychology,UK,3.73,6.4,3.9,7.3,4.2
S07931,Business,Japan,3.18,3.4,1.4,6.3,5.8
S00622,Physics,Australia,3.72,7.1,3.3,7.9,6.2
S07236,Law,Italy,4.0,4.2,0.0,3.1,5.3
S02499,Computer Science,Bangladesh,3.86,5.3,5.5,4.4,3.2
S00714,Business,Australia,3.49,3.6,2.6,6.4,4.0
S08404,Law,Germany,3.64,6.6,0.7,7.2,6.9
S02856,Biology,Italy,3.51,5.0,2.8,1.6,6.2
S04270,Law,Canada,3.95,2.0,4.6,5.7,4.8
S02909,Mathematics,Germany,3.73,4.2,5.2,10.4,5.9
S08081,Psychology,Brazil,3.45,5.0,1.3,3.9,2.6
S04517,Psychology,Canada,3.33,4.8,3.5,11.4,5.0
S01262,Mathematics,Canada,3.83,4.7,4.2,3.1,3.7
S03161,Business,Netherlands,3.61,1.5,2.1,4.9,3.9
S00971,Business,Japan,4.0,5.9,1.5,1.6,1.5
S03913,Law,Australia,4.0,5.3,4.7,7.3,3.4
S05199,Engineering,UK,3.74,5.9,2.2,4.7,2.6
S08847,Business,Germany,3.77,4.5,4.7,5.5,4.4
S00260,Biology,South Korea,4.0,1.8,2.0,6.9,5.4
S03791,Biology,Netherlands,3.87,4.5,5.1,5.6,3.6
S09203,Physics,UK,3.45,5.1,5.0,4.6,4.8
S00488,Physics,Australia,3.57,2.3,3.6,5.3,4.4
S07908,Law,Italy,3.99,4.1,3.5,3.5,1.8
S00519,Mathematics,Canada,3.8,6.6,4.8,2.5,3.4
S08343,Biology,Italy,4.0,4.8,2.5,7.6,2.8
S00312,Engineering,Japan,4.0,2.5,0.0,3.6,4.7
S03232,Physics,Bangladesh,3.27,4.1,0.0,2.3,3.3
S07933,Business,UK,4.0,1.5,2.0,7.9,3.0
S07458,Economics,India,3.93,4.6,1.9,7.3,5.3
S09784,Engineering,Netherlands,3.69,2.4,2.8,6.0,4.1
S05184,Engineering,India,3.7,3.3,3.3,7.0,5.1
S08077,Engineering,Japan,3.57,3.2,0.0,1.6,5.8
S06502,Physics,India,2.97,6.6,3.4,7.0,3.9
S06791,Physics,USA,3.7,6.9,3.9,8.2,4.7
S07773,Business,Germany,3.6,6.9,2.3,6.3,5.3
S02738,Physics,Germany,3.38,7.8,3.4,8.2,4.7
S07842,Medicine,Australia,3.72,4.7,2.6,9.3,4.0
S06262,Computer Science,USA,4.0,0.0,4.3,7.4,4.1
S08206,Biology,Germany,3.11,3.9,3.8,8.1,4.9
S01248,Engineering,Japan,3.56,0.0,1.4,5.9,5.4
S09336,Law,Australia,3.32,3.7,7.6,6.1,3.5
S04195,Biology,Italy,2.78,3.9,3.8,5.2,4.2
S08001,Psychology,Brazil,3.05,7.8,4.2,8.9,4.9
S07378,Mathematics,Germany,3.65,4.7,5.1,8.4,4.4
S03435,Business,Netherlands,4.0,2.9,3.1,5.4,3.6
S05382,Medicine,Brazil,3.31,1.0,3.1,6.2,3.9
S00959,Mathematics,USA,3.95,3.0,3.6,6.7,3.3
S00417,Mathematics,Germany,4.0,1.3,3.3,5.9,4.4
S05742,Engineering,Australia,3.49,5.4,2.0,3.4,3.3
S06728,Law,South Korea,3.75,4.4,6.1,6.2,3.0
S04382,Computer Science,UK,3.77,2.8,2.7,6.6,4.3
S05197,Biology,USA,4.0,5.6,0.1,2.8,4.7
S01113,Business,USA,3.88,4.2,3.5,5.8,6.0
S02689,Business,Canada,3.82,0.9,0.0,6.3,4.0
S06473,Business,Brazil,3.54,2.0,1.4,5.9,3.3
S08820,Medicine,Canada,3.96,3.7,1.3,6.7,5.1
S07808,Biology,France,3.62,2.7,3.9,5.2,2.5
S03411,Physics,Bangladesh,3.51,4.7,0.0,8.8,3.1
S00081,Physics,Canada,3.41,9.3,4.0,5.5,5.7
S04614,Engineering,Australia,3.41,7.1,3.6,7.0,4.3
S01374,Mathematics,Bangladesh,2.93,1.9,3.2,7.0,4.5
S01510,Business,Japan,4.0,2.4,2.5,3.4,4.8
S06443,Computer Science,Australia,3.68,5.3,1.1,5.2,6.0
S03071,Biology,Brazil,3.44,0.0,2.1,8.1,5.8
S03016,Medicine,Netherlands,4.0,7.2,4.2,3.5,3.9
S04823,Mathematics,Canada,3.43,5.3,2.8,7.7,3.2
S07822,Physics,Japan,3.58,4.9,2.1,8.1,5.5
S00093,Computer Science,Italy,3.2,1.4,1.8,5.0,4.1
S09421,Law,Bangladesh,3.84,5.1,0.1,3.8,2.8
S06600,Computer Science,Bangladesh,4.0,7.2,0.4,4.5,5.4
S04443,Mathematics,India,4.0,2.7,1.1,3.3,3.8
S07602,Economics,Brazil,3.73,7.2,2.1,6.2,3.7
S03835,Medicine,Germany,3.2,6.0,0.0,5.0,4.4
S09702,Medicine,Netherlands,4.0,3.2,1.2,7.5,2.9
S04322,Physics,South Korea,3.51,7.4,2.1,7.5,4.8
S03394,Biology,India,3.28,3.7,6.5,6.6,5.1
S04752,Computer Science,South Korea,3.71,5.4,2.8,4.3,4.4
S07229,Psychology,Germany,3.77,5.4,1.9,3.3,3.0
S09191,Mathematics,Germany,3.53,2.0,5.5,7.4,3.2
S02361,Business,UK,3.59,6.2,4.0,5.1,3.0
S01148,Medicine,Bangladesh,3.18,5.2,5.0,1.5,2.8
S05666,Law,Australia,2.75,6.3,2.9,6.4,5.5
S08075,Psychology,Germany,2.28,3.6,6.1,7.8,3.6
S04943,Psychology,India,3.8,4.1,5.0,6.3,3.7
S03663,Mathematics,France,4.0,4.7,0.6,8.3,3.7
S01563,Physics,Brazil,3.23,0.0,1.7,4.0,5.1
S04113,Psychology,USA,4.0,5.0,1.8,6.1,5.1
S09050,Economics,Netherlands,4.0,3.0,3.7,2.1,2.2
S09276,Computer Science,Italy,2.59,7.9,2.6,6.9,5.7
S08538,Business,Japan,4.0,3.1,2.8,4.2,3.4
S00795,Economics,Brazil,3.29,3.2,2.9,7.4,4.1
S05854,Law,Australia,3.27,8.5,5.1,8.8,3.8
S07619,Economics,Germany,3.05,3.1,4.2,7.6,5.2
S01594,Economics,Italy,4.0,6.1,0.3,5.4,3.8
S07418,Mathematics,Australia,3.41,3.8,1.3,4.7,4.2
S05267,Psychology,USA,4.0,3.7,4.1,5.2,2.5
S07147,Psychology,Canada,4.0,1.5,5.2,2.9,1.0
S00089,Law,Netherlands,3.12,3.6,3.2,5.2,4.7
S08695,Psychology,Bangladesh,3.37,6.8,3.6,2.5,2.7
S09732,Business,France,3.72,3.1,1.3,5.4,3.9
S09446,Physics,USA,3.11,3.9,2.2,8.2,2.5
S06754,Physics,Germany,3.78,7.9,1.1,3.4,4.9
S03502,Mathematics,Netherlands,4.0,7.3,0.0,5.0,5.0
S02234,Law,Netherlands,3.95,2.5,4.2,5.7,3.8
S02803,Mathematics,Australia,4.0,5.2,2.6,4.7,4.8
S04424,Law,India,4.0,5.7,5.5,4.8,3.6
S05663,Medicine,Italy,3.55,5.0,2.0,4.2,5.0
S07170,Business,Italy,3.88,5.9,3.9,4.3,4.8
S08337,Engineering,South Korea,2.91,3.5,2.6,6.7,6.3
S02148,Economics,Italy,3.34,6.4,5.5,5.0,4.1
S07969,Psychology,Australia,3.33,1.1,1.0,7.4,7.1
S06551,Economics,France,4.0,4.9,2.9,7.1,4.6
S07643,Physics,Japan,3.54,3.7,3.5,5.6,2.4
S06164,Business,Italy,3.5,0.2,6.5,4.9,3.4
S01495,Business,USA,4.0,2.0,4.3,5.4,5.1
S07696,Engineering,UK,3.94,6.9,2.8,5.0,4.7
S07094,Biology,Germany,4.0,8.1,4.8,6.9,3.3
S01409,Business,South Korea,3.52,3.6,1.9,8.0,5.9
S06691,Economics,UK,3.53,1.5,2.7,6.8,5.3
S03401,Business,France,3.41,5.9,2.4,5.6,4.2
S00109,Biology,India,3.86,4.3,4.0,9.2,4.5
S05636,Biology,France,4.0,3.4,6.6,4.5,2.1
S08482,Mathematics,Italy,3.8,3.8,2.7,7.9,3.2
S06604,Psychology,Brazil,4.0,4.2,7.7,6.6,3.0
S01091,Psychology,South Korea,4.0,2.3,0.0,4.7,2.2
S05560,Business,Italy,3.98,5.4,2.1,3.6,3.0
S09412,Economics,Australia,3.25,3.4,1.2,5.8,4.6
S08143,Engineering,India,3.12,1.0,7.2,6.6,3.4
S08664,Law,Japan,4.0,3.2,1.2,3.4,4.3
S06596,Engineering,USA,4.0,2.5,3.3,6.8,4.8
S00624,Computer Science,France,4.0,1.1,3.9,5.8,1.0
S06871,Physics,Netherlands,3.98,0.1,3.8,4.2,3.2
S04814,Psychology,Germany,3.46,4.0,2.2,7.5,5.6
S06553,Psychology,USA,3.57,3.9,1.9,2.8,5.6
S07530,Business,France,2.69,4.8,0.8,5.8,4.0
S05796,Psychology,Italy,3.92,4.3,2.4,6.3,4.2
S07437,Psychology,Italy,3.5,6.6,5.1,5.2,2.7
S04218,Engineering,Brazil,3.81,5.7,5.8,5.4,1.9
S05941,Computer Science,USA,3.27,6.0,0.9,3.8,4.5
S08501,Psychology,Netherlands,4.0,4.2,1.3,6.6,5.6
S06429,Physics,Brazil,4.0,6.7,1.7,5.9,5.2
S06827,Psychology,Netherlands,2.71,3.4,7.2,7.9,3.1
S04131,Psychology,Canada,4.0,5.1,2.8,8.3,4.4
S07802,Economics,Germany,3.33,6.1,0.2,5.4,5.8
S07754,Biology,Canada,3.34,2.6,2.5,5.3,3.9
S04722,Mathematics,Brazil,4.0,3.8,1.7,4.2,2.0
S01651,Computer Science,France,4.0,4.9,2.5,5.2,2.4
S04141,Medicine,Brazil,3.94,5.2,4.2,5.6,2.8
S01618,Business,USA,3.63,5.8,2.7,6.5,2.8
S02030,Computer Science,Netherlands,3.78,3.6,2.0,4.7,3.0
S08518,Computer Science,Australia,3.81,3.4,5.3,7.8,3.5
S04576,Medicine,India,3.49,4.9,3.4,5.8,4.1
S03993,Psychology,Australia,3.18,3.4,5.9,6.2,5.2
S07377,Biology,Australia,3.78,4.9,2.3,7.6,4.7
S06150,Economics,India,3.61,4.7,4.9,5.6,2.9
S04909,Biology,South Korea,3.51,1.1,3.2,7.0,3.0
S05027,Computer Science,Netherlands,3.83,3.2,2.0,6.9,4.8
S08261,Law,Netherlands,3.52,3.0,4.2,5.0,3.2
S04732,Business,Bangladesh,3.86,3.5,0.6,5.2,4.4
S07549,Biology,Germany,4.0,1.4,0.0,6.7,3.2
S08135,Computer Science,Australia,3.33,5.2,6.5,5.8,2.3
S01607,Law,South Korea,3.44,7.9,7.3,7.8,4.9
S04774,Biology,France,3.7,2.5,0.4,3.2,5.0
S08110,Psychology,Brazil,3.11,8.0,6.4,5.1,2.7
S06952,Medicine,India,4.0,6.7,3.9,4.9,2.0
S06005,Biology,Netherlands,3.65,6.1,2.9,6.0,4.5
S07729,Computer Science,Germany,3.19,5.5,4.0,6.4,5.3
S03542,Economics,South Korea,4.0,7.0,7.1,7.0,4.1
S00389,Computer Science,South Korea,4.0,5.0,3.1,5.5,5.0
S01795,Medicine,Germany,4.0,3.6,3.2,1.7,4.2
S08732,Economics,Bangladesh,3.31,5.2,6.0,4.3,2.9
S04920,Mathematics,France,3.92,5.6,5.7,5.7,5.9
S05538,Physics,Netherlands,3.76,2.2,4.1,4.0,3.5
S03873,Medicine,USA,3.16,3.3,4.9,5.9,4.8
S08869,Physics,Brazil,3.95,2.5,2.4,4.9,4.5
S02255,Mathematics,Germany,2.99,2.7,2.9,7.2,5.1
S03413,Mathematics,Canada,4.0,2.9,0.0,4.4,3.4
S05460,Economics,Canada,3.88,4.1,5.2,7.6,2.6
S04956,Economics,UK,3.04,2.4,1.4,2.9,3.7
S07397,Economics,Netherlands,4.0,2.6,3.3,5.9,4.7
S05415,Medicine,Netherlands,3.84,4.8,4.0,4.6,5.4
S07400,Physics,USA,4.0,2.0,4.5,5.5,4.3
S07415,Computer Science,South Korea,4.0,4.3,1.5,7.2,4.9
S09101,Mathematics,UK,4.0,4.0,3.8,4.9,1.7
S04852,Computer Science,Germany,4.0,5.1,1.5,4.9,5.2
S02026,Medicine,Germany,3.74,4.5,3.7,4.9,2.8
S02616,Physics,India,3.61,2.3,5.0,7.2,4.9
S07389,Physics,Brazil,3.72,0.0,0.5,7.0,4.7
S02927,Business,Brazil,3.79,4.2,5.5,7.7,3.3
S01122,Business,Netherlands,4.0,2.0,2.4,4.9,3.4
S02911,Psychology,UK,3.97,0.8,1.6,4.8,2.9
S08147,Medicine,UK,4.0,3.8,4.1,6.9,3.7
S07384,Computer Science,Netherlands,3.32,1.2,5.0,5.5,3.4
S03483,Biology,Bangladesh,3.39,4.7,2.7,7.2,6.0
S00796,Computer Science,USA,4.0,6.9,5.3,4.3,4.8
S01576,Medicine,Brazil,3.85,4.9,5.0,7.9,4.7
S06177,Physics,Bangladesh,3.27,2.1,1.2,9.1,5.1
S06267,Physics,South Korea,3.67,4.1,0.4,5.8,2.9
S02459,Business,UK,4.0,2.4,4.8,3.9,3.6
S03313,Computer Science,USA,4.0,4.5,2.6,5.4,1.8
S01254,Law,Australia,3.72,3.8,2.3,6.5,2.5
S06835,Biology,Japan,4.0,3.2,3.7,6.5,2.7
S08795,Engineering,Netherlands,3.43,0.0,4.4,4.4,4.2
S03838,Computer Science,Japan,4.0,4.3,2.6,8.4,4.1
S04399,Engineering,Bangladesh,3.87,4.1,4.6,5.3,3.7
S03596,Engineering,Canada,4.0,1.7,2.1,6.5,4.9
S06622,Biology,Canada,3.88,0.0,3.7,5.9,4.9
S08383,Computer Science,Japan,3.81,8.7,1.4,4.4,5.3
S02125,Mathematics,Bangladesh,3.86,3.7,5.2,5.6,4.0
S03239,Engineering,Brazil,3.66,3.2,2.3,6.9,4.2
S05404,Medicine,UK,4.0,3.4,2.5,5.4,1.0
S05999,Psychology,Bangladesh,4.0,1.3,0.0,4.4,2.8
S05939,Medicine,Japan,4.0,2.8,3.5,8.5,3.2
S02046,Engineering,UK,4.0,3.7,5.4,8.0,3.3
S01579,Physics,Brazil,3.4,4.2,3.4,7.9,4.8
S00015,Computer Science,USA,2.93,6.1,2.1,2.9,3.4
S02674,Law,Australia,3.39,3.0,2.0,2.4,5.6
S07017,Engineering,Brazil,2.96,1.0,2.8,7.2,5.5
S08721,Business,USA,2.96,3.5,6.8,10.0,5.6
S08850,Economics,South Korea,4.0,3.0,0.0,6.3,3.4
S04813,Business,Germany,4.0,5.9,1.1,3.0,4.6
S01085,Biology,Italy,3.62,1.8,2.0,6.0,2.9
S04984,Mathematics,Bangladesh,3.58,3.1,2.9,4.8,2.9
S07156,Physics,USA,3.11,7.6,3.0,3.1,3.4
S02885,Medicine,Australia,2.59,7.1,3.1,7.6,3.6
S00334,Psychology,Netherlands,3.07,6.3,5.6,9.7,4.3
S07205,Mathematics,UK,2.8,4.0,4.2,7.9,4.1
S04368,Law,UK,3.11,5.2,5.7,7.5,4.3
S03080,Computer Science,Netherlands,4.0,6.7,2.0,5.2,2.9
S07204,Psychology,France,3.48,5.9,1.1,3.3,2.6
S09910,Psychology,Italy,4.0,1.9,3.0,2.9,3.7
S08865,Physics,Netherlands,3.75,8.1,4.8,4.7,2.9
S00264,Computer Science,France,3.64,5.9,5.8,3.3,1.9
S04338,Physics,Canada,3.36,5.6,4.8,6.7,5.0
S08896,Psychology,Italy,4.0,2.1,2.3,5.3,3.6
S08448,Mathematics,Brazil,3.84,4.6,3.2,8.2,3.7
S05904,Biology,Brazil,4.0,2.8,2.8,2.8,3.7
S01499,Engineering,Japan,4.0,3.9,1.5,7.7,4.4
S04191,Physics,South Korea,4.0,6.5,1.6,5.7,5.8
S07486,Economics,South Korea,3.34,3.1,5.0,4.9,4.2
